feature,score
HeatingQC_TA,0.0005020934288778748
LandSlope_Gtl,0.0004980789211382181
ScreenPorch,0.0004964911684046865
HeatingQC_Ex,0.00046964307133984343
Neighborhood_IDOTRR,0.00046165227424248777
GarageCond_TA,0.0004608335045977428
PavedDrive_Y,0.000460189610787833
Fence_GdWo,0.0004581071687881368
Fence_None,0.0004530915127432443
ExterCond_TA,0.0004478956690456787
BsmtFinSF2,0.00043155297189738845
Electrical_SBrkr,0.0004273140125487953
ExterQual_Gd,0.00041792109064264186
LandContour_Lvl,0.00040707862913325115
BsmtCond_TA,0.0004061325218449442
BldgType_1Fam,0.00039815988598415055
LotShape_IR1,0.00039738450194483875
RoofStyle_Hip,0.00039390628105160524
BsmtFinType1_ALQ,0.00038696958178170953
Neighborhood_NAmes,0.0003775604154338371
Foundation_CBlock,0.0003730053804770099
LotConfig_Inside,0.00036915946288568967
Exterior2nd_Brk Cmn,0.00035811752551200335
RoofStyle_Gable,0.00035790229869631996
Exterior1st_Wd Sdng,0.00035665107005773634
KitchenQual_Fa,0.00035510305997203564
SaleType_WD,0.00035500461554937896
HouseStyle_SLvl,0.0003505267649895165
GarageFinish_RFn,0.0003455413696903555
BsmtFinType1_Unf,0.0003349126096633107
Functional_Mod,0.0003241077464399637
BsmtCond_Fa,0.0003233148398275505
LandSlope_Mod,0.00030709545890196034
LotConfig_Corner,0.00030452445767784736
HeatingQC_Gd,0.0002922529188421513
Exterior1st_BrkComm,0.0002878302364718558
Exterior1st_MetalSd,0.0002876451524803275
HouseStyle_1.5Fin,0.00028633117626615095
Foundation_BrkTil,0.00028427005637587233
Exterior1st_BrkFace,0.0002834628361496847
FireplaceQu_Po,0.000281159670803026
FireplaceQu_TA,0.0002758060362325974
Exterior2nd_MetalSd,0.0002644402454553586
Foundation_PConc,0.0002618361848653282
ExterCond_Gd,0.00025574069333761303
BsmtHalfBath,0.0002508064273524154
Condition2_Norm,0.00024183567096454584
MasVnrType_BrkFace,0.0002350649501106538
Exterior2nd_Wd Sdng,0.00023425054981776998
Exterior2nd_Plywood,0.0002327782746050775
BsmtFinType2_BLQ,0.00023087526228322136
Condition1_Feedr,0.00022779813491662158
Functional_Maj2,0.0002233547069824756
HouseStyle_1Story,0.0002221369966251982
BsmtFinType1_Rec,0.00021983319949094843
ExterQual_Ex,0.00021569441022728438
Exterior1st_Plywood,0.00021120930933187467
BsmtQual_Fa,0.0002107515392869285
Neighborhood_CollgCr,0.000209446677125476
MasVnrType_None,0.00020788064199930923
LandContour_HLS,0.00020742281852925392
RoofStyle_Gambrel,0.00020408212725138729
BldgType_Duplex,0.00019957832346057718
BsmtExposure_Av,0.00019729243862539076
GarageType_CarPort,0.00019621415602537142
MasVnrType_Stone,0.00019569423893381316
GarageQual_Fa,0.00019368874464821377
Neighborhood_Sawyer,0.0001935659523020343
Exterior2nd_HdBoard,0.00019079893129015185
Fence_MnPrv,0.00018911073533808793
BsmtFinType1_BLQ,0.00018324051060727392
HouseStyle_2Story,0.00017423809933294498
Neighborhood_BrkSide,0.00016924871264325015
Condition1_Artery,0.00016849785509282213
LotConfig_CulDSac,0.0001668501907426967
Electrical_FuseA,0.00015805742894116288
SaleType_New,0.00015781514436158343
SaleCondition_Partial,0.00015526347230130112
BsmtFinType2_Unf,0.00015502758885231236
Heating_Grav,0.00015233970993815655
Neighborhood_Somerst,0.00014934932554146852
Exterior1st_HdBoard,0.0001476386930117876
Exterior2nd_Stucco,0.0001440382425662601
BsmtExposure_Mn,0.00014212062780593953
GarageType_BuiltIn,0.00014001493266656468
LowQualFinSF,0.00012811678631151907
BsmtFinType1_LwQ,0.0001256493780548029
Exterior2nd_BrkFace,0.00012498506759579976
MasVnrType_BrkCmn,0.00012288152544538575
PavedDrive_P,0.00012178044256413386
GarageType_None,0.00012151517038710737
Condition1_RRAe,0.00012088511907663883
RoofMatl_CompShg,0.00012068605567462554
Neighborhood_NridgHt,0.00011750775456633114
LotConfig_FR2,0.00011724599217764119
ExterQual_Fa,0.00011709587882810669
LandContour_Low,0.0001115413105945637
GarageCond_None,0.00010992769574264437
GarageCond_Fa,0.00010941282679160901
GarageQual_None,0.00010849930588991918
BsmtCond_Gd,0.00010450656724908232
Functional_Min1,0.00010360742720806318
Fence_GdPrv,0.00010000204219586839
MiscFeature_None,9.9879930408474e-05
Neighborhood_Gilbert,9.869164828552152e-05
Neighborhood_StoneBr,9.798731009963078e-05
3SsnPorch,9.696358014031769e-05
Exterior2nd_CmentBd,9.184854383282447e-05
